TOTAL_ELAPSED_TIME,QUERY_ID,QUERY_TEXT,DATABASE_NAME,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,ROWS_PRODUCED,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,CREDITS_USED_CLOUD_SERVICES,LIST_EXTERNAL_FILE_TIME,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,IS_CLIENT_GENERATED_STATEMENT,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
9269,01b30595-0002-318f-0051-ba870003b1ce,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales, date_dim, customer, customer_address
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND customer.c_current_addr_sk = customer_address.ca_address_sk
  AND ca_state IN ('CA', 'TX', 'NY')
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales, date_dim, customer, customer_address
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND customer.c_current_addr_sk = customer_address.ca_address_sk
  AND ca_state IN ('CA', 'TX', 'NY')
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales, date_dim, customer, customer_address
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND customer.c_current_addr_sk = customer_address.ca_address_sk
  AND ca_state IN ('CA', 'TX', 'NY')
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:49:27.972-07:00,2024-03-16T00:49:37.241-07:00,9269,523426223197,1,820,8449,0,0,0,0,,,0,,,0,0.000127000,0,8.10.1,0,0,0,0,0,FALSE,02390eac94c7d5778d5adf60af431e3f,2,02390eac94c7d5778d5adf60af431e3f,1
10775,01b30595-0002-317c-0051-ba870003724e,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales JOIN date_dim ON store_sales.ss_sold_date_sk = date_dim.d_date_sk
  JOIN customer ON store_sales.ss_customer_sk = customer.c_customer_sk
  WHERE ss_net_profit > 1000
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  JOIN customer ON catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  WHERE cs_net_profit > 1000
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk
  JOIN customer ON web_sales.ws_bill_customer_sk = customer.c_customer_sk
  WHERE ws_net_profit > 1000
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:49:16.779-07:00,2024-03-16T00:49:27.554-07:00,10775,521096859229,1,719,10056,0,0,0,0,,,0,,,0,0.000112000,0,8.10.1,0,0,0,0,0,FALSE,d1f5f74c58d92e23715c07d49f672521,2,cfb0505b4dec1c6c84dcecd08a6a57ac,1
10758,01b30595-0002-318f-0051-ba870003b1c6,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales, date_dim, customer
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND d_year = 2000
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales, date_dim, customer
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND d_year = 2001
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales, date_dim, customer
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND d_year = 2002
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:49:05.657-07:00,2024-03-16T00:49:16.415-07:00,10758,526046257975,1,651,10107,0,0,0,0,,,0,,,0,0.000101000,0,8.10.1,0,0,0,0,0,FALSE,c33cd057ebee7ea5ed355a62d11ec8e1,2,3047c5a3aa280c5a37eb607a6552c800,1
1975,01b30595-0002-318f-0051-ba870003b1be,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales, date_dim, customer
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND d_date = CAST(c_birth_year || '-' || c_birth_month || '-' || c_birth_day AS DATE)
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales, date_dim, customer
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND d_date = CAST(c_birth_year || '-' || c_birth_month || '-' || c_birth_day AS DATE)
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales, date_dim, customer
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND d_date = CAST(c_birth_year || '-' || c_birth_month || '-' || c_birth_day AS DATE)
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:49:03.332-07:00,2024-03-16T00:49:05.307-07:00,1975,2335906335,1,720,1255,0,0,0,0,,,0,,,0,0.000112000,0,8.10.1,0,0,0,0,0,FALSE,0b5e18bebca654e7f793deee954e9f15,2,0b5e18bebca654e7f793deee954e9f15,1
3636,01b30594-0002-326c-0051-ba870003c262,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales, date_dim, customer
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND c_preferred_cust_flag = 'Y'
  AND d_month_seq BETWEEN 1300 AND 1300 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales, date_dim, customer
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND c_preferred_cust_flag = 'Y'
  AND d_month_seq BETWEEN 1300 AND 1300 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales, date_dim, customer
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND c_preferred_cust_flag = 'Y'
  AND d_month_seq BETWEEN 1300 AND 1300 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:48:59.348-07:00,2024-03-16T00:49:02.984-07:00,3636,4660287628,1,787,2849,0,0,0,0,,,0,,,0,0.000122000,0,8.10.1,0,0,0,0,0,FALSE,a706565e00c2543ddd51b2e45464d246,2,ab3a5859727eea280915a8a350b6a02f,1
20828,01b30594-0002-317c-0051-ba8700037242,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales JOIN date_dim ON store_sales.ss_sold_date_sk = date_dim.d_date_sk
  JOIN customer ON store_sales.ss_customer_sk = customer.c_customer_sk
  JOIN item ON store_sales.ss_item_sk = item.i_item_sk
  WHERE i_category NOT IN ('Electronics', 'Clothing')
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  JOIN customer ON catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk
  WHERE i_category NOT IN ('Electronics', 'Clothing')
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk
  JOIN customer ON web_sales.ws_bill_customer_sk = customer.c_customer_sk
  JOIN item ON web_sales.ws_item_sk = item.i_item_sk
  WHERE i_category NOT IN ('Electronics', 'Clothing')
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:48:38.126-07:00,2024-03-16T00:48:58.954-07:00,20828,521168293981,1,1474,19354,0,0,0,0,,,0,,,0,0.000227000,0,8.10.1,0,0,0,0,0,FALSE,16f4a77030dc43d79f460c2d677a5244,2,16f4a77030dc43d79f460c2d677a5244,1
119,01b30594-0002-318f-0051-ba870003b1b2,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name
  FROM store_sales, date_dim, customer
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND ss_sales_price > 500
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM catalog_sales, date_dim, customer
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND cs_sales_price > 500
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name
  FROM web_sales, date_dim, customer
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND ws_sales_price > 500
  AND d_month_seq BETWEEN 1176 AND 1176 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:48:37.676-07:00,2024-03-16T00:48:37.795-07:00,119,0,1,88,31,0,0,0,0,,,0,,,0,0.000016000,0,8.10.1,0,0,0,0,0,FALSE,19c0d1ea49473df03e79bdc6696f55ac,2,1f5136d5609ecc61fe88f5f5491e7f45,1
6052,01b30594-0002-3144-0051-ba870003a292,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name, d_date
  FROM store_sales, date_dim, customer
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND d_month_seq = 1176
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name, d_date
  FROM catalog_sales, date_dim, customer
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND d_month_seq = 1176
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name, d_date
  FROM web_sales, date_dim, customer
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND d_month_seq = 1176
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:48:31.199-07:00,2024-03-16T00:48:37.251-07:00,6052,31560048733,1,802,5250,0,0,0,0,,,0,,,0,0.000125000,0,8.10.1,0,0,0,0,0,FALSE,ec093b80ca16fee4ae6635bb30adde5e,2,1dd56e9b403c2e4de0b5c882c5b6f3bd,1
15547,01b30594-0002-326c-0051-ba870003c25a,"SELECT COUNT(*) FROM (
  SELECT DISTINCT c_last_name, c_first_name, d_date
  FROM store_sales, date_dim, customer
  WHERE store_sales.ss_sold_date_sk = date_dim.d_date_sk
  AND store_sales.ss_customer_sk = customer.c_customer_sk
  AND d_month_seq BETWEEN 1200 AND 1200 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name, d_date
  FROM catalog_sales, date_dim, customer
  WHERE catalog_sales.cs_sold_date_sk = date_dim.d_date_sk
  AND catalog_sales.cs_bill_customer_sk = customer.c_customer_sk
  AND d_month_seq BETWEEN 1200 AND 1200 + 11
  INTERSECT
  SELECT DISTINCT c_last_name, c_first_name, d_date
  FROM web_sales, date_dim, customer
  WHERE web_sales.ws_sold_date_sk = date_dim.d_date_sk
  AND web_sales.ws_bill_customer_sk = customer.c_customer_sk
  AND d_month_seq BETWEEN 1200 AND 1200 + 11
) hot_cust
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:48:15.275-07:00,2024-03-16T00:48:30.822-07:00,15547,527624640605,1,830,14717,0,0,0,0,,,0,,,0,0.000129000,0,8.10.1,0,0,0,0,0,FALSE,298cebd92827bf279f850dbc6023957e,2,298cebd92827bf279f850dbc6023957e,1
21222,01b30593-0002-3095-0051-ba87000332e2,"SELECT *
FROM (
  SELECT i_category, i_class, i_brand,
  s_store_name, s_company_name,
  d_moy,
  SUM(ss_sales_price) sum_sales,
  AVG(SUM(ss_sales_price)) OVER
  (PARTITION BY i_category, s_company_name)
  avg_monthly_sales
  FROM item, store_sales, date_dim, store
  WHERE ss_item_sk = i_item_sk AND
  ss_sold_date_sk = d_date_sk AND
  ss_store_sk = s_store_sk AND
  d_year IN (2000)
  GROUP BY i_category, i_class, i_brand,
  s_store_name, s_company_name, d_moy
) tmp1
WHERE CASE WHEN (avg_monthly_sales <> 0) THEN (ABS(sum_sales - avg_monthly_sales) / avg_monthly_sales) ELSE NULL END > 0.1
ORDER BY ABS(sum_sales - avg_monthly_sales) DESC, i_category
LIMIT 100",SNOWFLAKE_SAMPLE_DATA,TPCDS_SF10TCL,SELECT,23004562097102974,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_10T,2X-Large,STANDARD,1,,SUCCESS,,,2024-03-16T00:47:53.695-07:00,2024-03-16T00:48:14.917-07:00,21222,243861228063,100,538,20684,0,0,0,0,,,0,,,0,0.000084000,0,8.10.1,0,0,0,0,0,FALSE,2537a01aac5a5b54105ee4eabbca4691,2,82496c0b6aacd0de89025ca60eb8062c,1
