TOTAL_ELAPSED_TIME,TPCDS_Query_ID,QUERY_TEXT,QUERY_ID,DATABASE_NAME,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,ROWS_PRODUCED,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,CREDITS_USED_CLOUD_SERVICES,LIST_EXTERNAL_FILE_TIME,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,IS_CLIENT_GENERATED_STATEMENT,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
97779,query76,"select /* { ""query"":""query76"",""streamId"":0,""querySequence"":99 } */ channel, col_name, d_year, d_qoy, i_category, COUNT(*) sales_cnt, SUM(ext_sales_price) sales_amt FROM (
  SELECT 'store' as channel, 'ss_hdemo_sk' col_name, d_year, d_qoy, i_category, ss_ext_sales_price ext_sales_price
  FROM store_sales, item, date_dim
  WHERE ss_hdemo_sk IS NULL
  AND ss_sold_date_sk=d_date_sk
  AND ss_item_sk=i_item_sk
  UNION ALL
  SELECT 'web' as channel, 'ws_ship_mode_sk' col_name, d_year, d_qoy, i_category, ws_ext_sales_price ext_sales_price
  FROM web_sales, item, date_dim
  WHERE ws_ship_mode_sk IS NULL
  AND ws_sold_date_sk=d_date_sk
  AND ws_item_sk=i_item_sk
  UNION ALL
  SELECT 'catalog' as channel, 'cs_ship_customer_sk' col_name, d_year, d_qoy, i_category, cs_ext_sales_price ext_sales_price
  FROM catalog_sales, item, date_dim
  WHERE cs_ship_customer_sk IS NULL
  AND cs_sold_date_sk=d_date_sk
  AND cs_item_sk=i_item_sk) foo
 GROUP BY channel, col_name, d_year, d_qoy, i_category
 ORDER BY channel, col_name, d_year, d_qoy, i_category
  limit 100;",01b25084-0002-165b-0000-0051ba8771c1,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:16:56.52-08:00,2024-02-12T19:18:34.299-08:00,97779,26383260215775,100,1152,96627,0,0,0,0,,,0,,,0,0.000178,0,8.5.2,0,0,0,0,0,FALSE,066a9358a0ce0da0498ae7d38ba66b31,2,066a9358a0ce0da0498ae7d38ba66b31,1
36389,query05,"with /* { ""query"":""query05"",""streamId"":0,""querySequence"":98 } */ ssr as
  (select s_store_id,
  sum(sales_price) as sales,
  sum(profit) as profit,
  sum(return_amt) as returns,
  sum(net_loss) as profit_loss
  from
  ( select ss_store_sk as store_sk,
  ss_sold_date_sk as date_sk,
  ss_ext_sales_price as sales_price,
  ss_net_profit as profit,
  cast(0 as decimal(7,2)) as return_amt,
  cast(0 as decimal(7,2)) as net_loss
  from store_sales
  union all
  select sr_store_sk as store_sk,
  sr_returned_date_sk as date_sk,
  cast(0 as decimal(7,2)) as sales_price,
  cast(0 as decimal(7,2)) as profit,
  sr_return_amt as return_amt,
  sr_net_loss as net_loss
  from store_returns
  ) salesreturns,
  date_dim,
  store
  where date_sk = d_date_sk
  and d_date between cast('2002-08-09' as date)
  and dateadd(day, 14, cast('2002-08-09' as date))
  and store_sk = s_store_sk
  group by s_store_id)
  ,
  csr as
  (select cp_catalog_page_id,
  sum(sales_price) as sales,
  sum(profit) as profit,
  sum(return_amt) as returns,
  sum(net_loss) as profit_loss
  from
  ( select cs_catalog_page_sk as page_sk,
  cs_sold_date_sk as date_sk,
  cs_ext_sales_price as sales_price,
  cs_net_profit as profit,
  cast(0 as decimal(7,2)) as return_amt,
  cast(0 as decimal(7,2)) as net_loss
  from catalog_sales
  union all
  select cr_catalog_page_sk as page_sk,
  cr_returned_date_sk as date_sk,
  cast(0 as decimal(7,2)) as sales_price,
  cast(0 as decimal(7,2)) as profit,
  cr_return_amount as return_amt,
  cr_net_loss as net_loss
  from catalog_returns
  ) salesreturns,
  date_dim,
  catalog_page
  where date_sk = d_date_sk
  and d_date between cast('2002-08-09' as date)
  and dateadd(day, 14, cast('2002-08-09' as date))
  and page_sk = cp_catalog_page_sk
  group by cp_catalog_page_id)
  ,
  wsr as
  (select web_site_id,
  sum(sales_price) as sales,
  sum(profit) as profit,
  sum(return_amt) as returns,
  sum(net_loss) as profit_loss
  from
  ( select ws_web_site_sk as wsr_web_site_sk,
  ws_sold_date_sk as date_sk,
  ws_ext_sales_price as sales_price,
  ws_net_profit as profit,
  cast(0 as decimal(7,2)) as return_amt,
  cast(0 as decimal(7,2)) as net_loss
  from web_sales
  union all
  select ws_web_site_sk as wsr_web_site_sk,
  wr_returned_date_sk as date_sk,
  cast(0 as decimal(7,2)) as sales_price,
  cast(0 as decimal(7,2)) as profit,
  wr_return_amt as return_amt,
  wr_net_loss as net_loss
  from web_returns left outer join web_sales on
  ( wr_item_sk = ws_item_sk
  and wr_order_number = ws_order_number)
  ) salesreturns,
  date_dim,
  web_site
  where date_sk = d_date_sk
  and d_date between cast('2002-08-09' as date)
  and dateadd(day, 14, cast('2002-08-09' as date))
  and wsr_web_site_sk = web_site_sk
  group by web_site_id)
 select channel
  , id
  , sum(sales) as sales
  , sum(returns) as returns
  , sum(profit) as profit
 from
  (select 'store channel' as channel
  , 'store' || s_store_id as id
  , sales
  , returns
  , (profit - profit_loss) as profit
  from  ssr
  union all
  select 'catalog channel' as channel
  , 'catalog_page' || cp_catalog_page_id as id
  , sales
  , returns
  , (profit - profit_loss) as profit
  from csr
  union all
  select 'web channel' as channel
  , 'web_site' || web_site_id as id
  , sales
  , returns
  , (profit - profit_loss) as profit
  from  wsr
  ) x
 group by rollup (channel, id)
 order by channel
  ,id
  limit 100;",01b25084-0002-0e20-0000-0051ba879175,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:16:15.836-08:00,2024-02-12T19:16:52.225-08:00,36389,5480822840474,100,5138,31251,0,0,0,0,,,0,,,0,0.000787,0,8.5.2,0,0,0,0,0,FALSE,47119ff14f7d60edab2c97396406d148,2,47119ff14f7d60edab2c97396406d148,1
12362,query61,"select /* { ""query"":""query61"",""streamId"":0,""querySequence"":97 } */ promotions,total,cast(promotions as decimal(17,4))/cast(total as decimal(17,4))*100
 from
  (select sum(ss_ext_sales_price) promotions
  from store_sales
  ,store
  ,promotion
  ,date_dim
  ,customer
  ,customer_address
  ,item
  where ss_sold_date_sk = d_date_sk
  and  ss_store_sk = s_store_sk
  and  ss_promo_sk = p_promo_sk
  and  ss_customer_sk= c_customer_sk
  and  ca_address_sk = c_current_addr_sk
  and  ss_item_sk = i_item_sk
  and  ca_gmt_offset = -6
  and  i_category = 'Sports'
  and  (p_channel_dmail = 'Y' or p_channel_email = 'Y' or p_channel_tv = 'Y')
  and  s_gmt_offset = -6
  and  d_year = 1999
  and  d_moy = 11) promotional_sales,
  (select sum(ss_ext_sales_price) total
  from store_sales
  ,store
  ,date_dim
  ,customer
  ,customer_address
  ,item
  where ss_sold_date_sk = d_date_sk
  and  ss_store_sk = s_store_sk
  and  ss_customer_sk= c_customer_sk
  and  ca_address_sk = c_current_addr_sk
  and  ss_item_sk = i_item_sk
  and  ca_gmt_offset = -6
  and  i_category = 'Sports'
  and  s_gmt_offset = -6
  and  d_year = 1999
  and  d_moy = 11) all_sales
 order by promotions, total
  limit 100;",01b25084-0002-1645-0000-0051ba878191,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:16:02.733-08:00,2024-02-12T19:16:15.095-08:00,12362,719402425323,1,1887,10475,0,0,0,0,,,0,,,0,0.00029,0,8.5.2,0,0,0,0,0,FALSE,c492979823e6b627ddfc4a6ccc5cc953,2,63c8b10d5530e11536c61748f43da2aa,1
8782,query83,"with /* { ""query"":""query83"",""streamId"":0,""querySequence"":96 } */ sr_items as
  (select i_item_id item_id,
  sum(sr_return_quantity) sr_item_qty
  from store_returns,
  item,
  date_dim
  where sr_item_sk = i_item_sk
  and  d_date in
  (select d_date
  from date_dim
  where d_week_seq in
  (select d_week_seq
  from date_dim
  where d_date in ('1998-02-20','1998-09-28','1998-11-14')))
  and  sr_returned_date_sk  = d_date_sk
  group by i_item_id),
  cr_items as
  (select i_item_id item_id,
  sum(cr_return_quantity) cr_item_qty
  from catalog_returns,
  item,
  date_dim
  where cr_item_sk = i_item_sk
  and  d_date in
  (select d_date
  from date_dim
  where d_week_seq in
  (select d_week_seq
  from date_dim
  where d_date in ('1998-02-20','1998-09-28','1998-11-14')))
  and  cr_returned_date_sk  = d_date_sk
  group by i_item_id),
  wr_items as
  (select i_item_id item_id,
  sum(wr_return_quantity) wr_item_qty
  from web_returns,
  item,
  date_dim
  where wr_item_sk = i_item_sk
  and  d_date in
  (select d_date
  from date_dim
  where d_week_seq in
  (select d_week_seq
  from date_dim
  where d_date in ('1998-02-20','1998-09-28','1998-11-14')))
  and  wr_returned_date_sk  = d_date_sk
  group by i_item_id)
 select sr_items.item_id
  ,sr_item_qty
  ,sr_item_qty/(sr_item_qty+cr_item_qty+wr_item_qty)/3.0 * 100 sr_dev
  ,cr_item_qty
  ,cr_item_qty/(sr_item_qty+cr_item_qty+wr_item_qty)/3.0 * 100 cr_dev
  ,wr_item_qty
  ,wr_item_qty/(sr_item_qty+cr_item_qty+wr_item_qty)/3.0 * 100 wr_dev
  ,(sr_item_qty+cr_item_qty+wr_item_qty)/3.0 average
 from sr_items
  ,cr_items
  ,wr_items
 where sr_items.item_id=cr_items.item_id
  and sr_items.item_id=wr_items.item_id
 order by sr_items.item_id
  ,sr_item_qty
  limit 100;",01b25083-0002-162c-0000-0051ba87217d,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:15:53.601-08:00,2024-02-12T19:16:02.383-08:00,8782,14076920369,100,1308,7474,0,0,0,0,,,0,,,0,0.000204,0,8.5.2,0,0,0,0,0,FALSE,ab33be0c0c8f3537ee473e3641e39775,2,ab33be0c0c8f3537ee473e3641e39775,1
12312,query68,"select /* { ""query"":""query68"",""streamId"":0,""querySequence"":95 } */ c_last_name
  ,c_first_name
  ,ca_city
  ,bought_city
  ,ss_ticket_number
  ,extended_price
  ,extended_tax
  ,list_price
 from (select ss_ticket_number
  ,ss_customer_sk
  ,ca_city bought_city
  ,sum(ss_ext_sales_price) extended_price
  ,sum(ss_ext_list_price) list_price
  ,sum(ss_ext_tax) extended_tax
  from store_sales
  ,date_dim
  ,store
  ,household_demographics
  ,customer_address
  where store_sales.ss_sold_date_sk = date_dim.d_date_sk
  and store_sales.ss_store_sk = store.s_store_sk
  and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk
  and store_sales.ss_addr_sk = customer_address.ca_address_sk
  and date_dim.d_dom between 1 and 2
  and (household_demographics.hd_dep_count = 3 or
  household_demographics.hd_vehicle_count= 3)
  and date_dim.d_year in (2000,2000+1,2000+2)
  and store.s_city in ('Walnut Grove','Enterprise')
  group by ss_ticket_number
  ,ss_customer_sk
  ,ss_addr_sk,ca_city) dn
  ,customer
  ,customer_address current_addr
 where ss_customer_sk = c_customer_sk
  and customer.c_current_addr_sk = current_addr.ca_address_sk
  and current_addr.ca_city <> bought_city
 order by c_last_name
  ,ss_ticket_number
  limit 100;",01b25083-0002-162c-0000-0051ba872175,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:15:40.459-08:00,2024-02-12T19:15:52.771-08:00,12312,443516264725,100,718,11594,0,0,0,0,,,0,,,0,0.000114,0,8.5.2,0,0,0,0,0,FALSE,cb3fa792340c5fe96ff685038a4b228f,2,0f465aea9c1b73964c077b591e6b589a,1
75730,query99,"select /* { ""query"":""query99"",""streamId"":0,""querySequence"":94 } */
  substr(w_warehouse_name,1,20)
  ,sm_type
  ,cc_name
  ,sum(case when (cs_ship_date_sk - cs_sold_date_sk <= 30 ) then 1 else 0 end) as ""30 days""
  ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 30) and
  (cs_ship_date_sk - cs_sold_date_sk <= 60) then 1 else 0 end ) as ""31-60 days""
  ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 60) and
  (cs_ship_date_sk - cs_sold_date_sk <= 90) then 1 else 0 end) as ""61-90 days""
  ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 90) and
  (cs_ship_date_sk - cs_sold_date_sk <= 120) then 1 else 0 end) as ""91-120 days""
  ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 120) then 1 else 0 end) as "">120 days""
 from
  catalog_sales
  ,warehouse
  ,ship_mode
  ,call_center
  ,date_dim
 where
  d_month_seq between 1200 and 1200 + 11
  and cs_ship_date_sk  = d_date_sk
  and cs_warehouse_sk  = w_warehouse_sk
  and cs_ship_mode_sk  = sm_ship_mode_sk
  and cs_call_center_sk = cc_call_center_sk
 group by
  substr(w_warehouse_name,1,20)
  ,sm_type
  ,cc_name
 order by substr(w_warehouse_name,1,20)
  ,sm_type
  ,cc_name
  limit 100;",01b25082-0002-162c-0000-0051ba872171,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:14:22.814-08:00,2024-02-12T19:15:38.544-08:00,75730,2949697932319,100,2629,34473,38628,0,0,0,,,0,,,0,0.000404,0,8.5.2,0,0,0,0,0,FALSE,d39b93da0a8a55da68c5abb296a5de34,2,d39b93da0a8a55da68c5abb296a5de34,1
153410,query04,"with /* { ""query"":""query04"",""streamId"":0,""querySequence"":93 } */ year_total as (
  select c_customer_id customer_id
  ,c_first_name customer_first_name
  ,c_last_name customer_last_name
  ,c_preferred_cust_flag customer_preferred_cust_flag
  ,c_birth_country customer_birth_country
  ,c_login customer_login
  ,c_email_address customer_email_address
  ,d_year dyear
  ,sum(((ss_ext_list_price-ss_ext_wholesale_cost-ss_ext_discount_amt)+ss_ext_sales_price)/2) year_total
  ,'s' sale_type
  from customer
  ,store_sales
  ,date_dim
  where c_customer_sk = ss_customer_sk
  and ss_sold_date_sk = d_date_sk
  group by c_customer_id
  ,c_first_name
  ,c_last_name
  ,c_preferred_cust_flag
  ,c_birth_country
  ,c_login
  ,c_email_address
  ,d_year
  union all
  select c_customer_id customer_id
  ,c_first_name customer_first_name
  ,c_last_name customer_last_name
  ,c_preferred_cust_flag customer_preferred_cust_flag
  ,c_birth_country customer_birth_country
  ,c_login customer_login
  ,c_email_address customer_email_address
  ,d_year dyear
  ,sum((((cs_ext_list_price-cs_ext_wholesale_cost-cs_ext_discount_amt)+cs_ext_sales_price)/2) ) year_total
  ,'c' sale_type
  from customer
  ,catalog_sales
  ,date_dim
  where c_customer_sk = cs_bill_customer_sk
  and cs_sold_date_sk = d_date_sk
  group by c_customer_id
  ,c_first_name
  ,c_last_name
  ,c_preferred_cust_flag
  ,c_birth_country
  ,c_login
  ,c_email_address
  ,d_year
  union all
  select c_customer_id customer_id
  ,c_first_name customer_first_name
  ,c_last_name customer_last_name
  ,c_preferred_cust_flag customer_preferred_cust_flag
  ,c_birth_country customer_birth_country
  ,c_login customer_login
  ,c_email_address customer_email_address
  ,d_year dyear
  ,sum((((ws_ext_list_price-ws_ext_wholesale_cost-ws_ext_discount_amt)+ws_ext_sales_price)/2) ) year_total
  ,'w' sale_type
  from customer
  ,web_sales
  ,date_dim
  where c_customer_sk = ws_bill_customer_sk
  and ws_sold_date_sk = d_date_sk
  group by c_customer_id
  ,c_first_name
  ,c_last_name
  ,c_preferred_cust_flag
  ,c_birth_country
  ,c_login
  ,c_email_address
  ,d_year
 )
 select
  t_s_secyear.customer_id
  ,t_s_secyear.customer_first_name
  ,t_s_secyear.customer_last_name
  ,t_s_secyear.customer_login
 from year_total t_s_firstyear
  ,year_total t_s_secyear
  ,year_total t_c_firstyear
  ,year_total t_c_secyear
  ,year_total t_w_firstyear
  ,year_total t_w_secyear
 where t_s_secyear.customer_id = t_s_firstyear.customer_id
  and t_s_firstyear.customer_id = t_c_secyear.customer_id
  and t_s_firstyear.customer_id = t_c_firstyear.customer_id
  and t_s_firstyear.customer_id = t_w_firstyear.customer_id
  and t_s_firstyear.customer_id = t_w_secyear.customer_id
  and t_s_firstyear.sale_type = 's'
  and t_c_firstyear.sale_type = 'c'
  and t_w_firstyear.sale_type = 'w'
  and t_s_secyear.sale_type = 's'
  and t_c_secyear.sale_type = 'c'
  and t_w_secyear.sale_type = 'w'
  and t_s_firstyear.dyear = 1999
  and t_s_secyear.dyear = 1999+1
  and t_c_firstyear.dyear = 1999
  and t_c_secyear.dyear = 1999+1
  and t_w_firstyear.dyear = 1999
  and t_w_secyear.dyear = 1999+1
  and t_s_firstyear.year_total > 0
  and t_c_firstyear.year_total > 0
  and t_w_firstyear.year_total > 0
  and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end
  > case when t_s_firstyear.year_total > 0 then t_s_secyear.year_total / t_s_firstyear.year_total else null end
  and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end
  > case when t_w_firstyear.year_total > 0 then t_w_secyear.year_total / t_w_firstyear.year_total else null end
 order by t_s_secyear.customer_id
  ,t_s_secyear.customer_first_name
  ,t_s_secyear.customer_last_name
  ,t_s_secyear.customer_login
  limit 100;",01b2507b-0002-1645-0000-0051ba878175,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:07:45.969-08:00,2024-02-12T19:10:19.379-08:00,153410,10625456980061,100,1455,151955,0,0,0,0,,,0,,,0,0.000225,0,8.5.2,0,0,0,0,0,FALSE,02a69a0d649213602b629b1cd4d85158,2,f2f81c4a75e94be81c1438c8b5fa23da,1
84927,query24,"with /* { ""query"":""query24_p2"",""streamId"":0,""querySequence"":92 } */ ssales as
  (select c_last_name
  ,c_first_name
  ,s_store_name
  ,ca_state
  ,s_state
  ,i_color
  ,i_current_price
  ,i_manager_id
  ,i_units
  ,i_size
  ,sum(ss_net_paid_inc_tax) netpaid
  from store_sales
  ,store_returns
  ,store
  ,item
  ,customer
  ,customer_address
  where ss_ticket_number = sr_ticket_number
  and ss_item_sk = sr_item_sk
  and ss_customer_sk = c_customer_sk
  and ss_item_sk = i_item_sk
  and ss_store_sk = s_store_sk
  and c_current_addr_sk = ca_address_sk
  and c_birth_country <> upper(ca_country)
  and s_zip = ca_zip
  and s_market_id = 8
  group by c_last_name
  ,c_first_name
  ,s_store_name
  ,ca_state
  ,s_state
  ,i_color
  ,i_current_price
  ,i_manager_id
  ,i_units
  ,i_size)
 select c_last_name
  ,c_first_name
  ,s_store_name
  ,sum(netpaid) paid
 from ssales
 where i_color = 'lime'
 group by c_last_name
  ,c_first_name
  ,s_store_name
 having sum(netpaid) > (select 0.05*avg(netpaid)
  from ssales)
 order by c_last_name
  ,c_first_name
  ,s_store_name
 ;",01b2507a-0002-1645-0000-0051ba878171,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:06:19.943-08:00,2024-02-12T19:07:44.87-08:00,84927,24805814622205,212,1549,83378,0,0,0,0,,,0,,,0,0.000239,0,8.5.2,0,0,0,0,0,FALSE,26de48bbfe3bc15da44e0a38e2496a5b,2,47e5adf1c6cfa64dec24bc2919a5a8b7,1
84938,query24,"with /* { ""query"":""query24_p1"",""streamId"":0,""querySequence"":92 } */ ssales as
  (select c_last_name
  ,c_first_name
  ,s_store_name
  ,ca_state
  ,s_state
  ,i_color
  ,i_current_price
  ,i_manager_id
  ,i_units
  ,i_size
  ,sum(ss_net_paid_inc_tax) netpaid
  from store_sales
  ,store_returns
  ,store
  ,item
  ,customer
  ,customer_address
  where ss_ticket_number = sr_ticket_number
  and ss_item_sk = sr_item_sk
  and ss_customer_sk = c_customer_sk
  and ss_item_sk = i_item_sk
  and ss_store_sk = s_store_sk
  and c_current_addr_sk = ca_address_sk
  and c_birth_country <> upper(ca_country)
  and s_zip = ca_zip
  and s_market_id=8
  group by c_last_name
  ,c_first_name
  ,s_store_name
  ,ca_state
  ,s_state
  ,i_color
  ,i_current_price
  ,i_manager_id
  ,i_units
  ,i_size)
 select c_last_name
  ,c_first_name
  ,s_store_name
  ,sum(netpaid) paid
 from ssales
 where i_color = 'cornsilk'
 group by c_last_name
  ,c_first_name
  ,s_store_name
 having sum(netpaid) > (select 0.05*avg(netpaid)
  from ssales)
 order by c_last_name
  ,c_first_name
  ,s_store_name
 ;",01b25078-0002-0e20-0000-0051ba879145,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:04:53.088-08:00,2024-02-12T19:06:18.026-08:00,84938,24588768970337,79,1143,83795,0,0,0,0,,,0,,,0,0.000177,0,8.5.2,0,0,0,0,0,FALSE,146516e7f7728f375650a33244b93078,2,47e5adf1c6cfa64dec24bc2919a5a8b7,1
15929,query13,"select /* { ""query"":""query13"",""streamId"":0,""querySequence"":91 } */ avg(ss_quantity)
  ,avg(ss_ext_sales_price)
  ,avg(ss_ext_wholesale_cost)
  ,sum(ss_ext_wholesale_cost)
 from store_sales
  ,store
  ,customer_demographics
  ,household_demographics
  ,customer_address
  ,date_dim
 where s_store_sk = ss_store_sk
  and ss_sold_date_sk = d_date_sk and d_year = 2001
  and((ss_hdemo_sk=hd_demo_sk
  and cd_demo_sk = ss_cdemo_sk
  and cd_marital_status = 'D'
  and cd_education_status = '2 yr Degree'
  and ss_sales_price between 100.00 and 150.00
  and hd_dep_count = 3
  )or
  (ss_hdemo_sk=hd_demo_sk
  and cd_demo_sk = ss_cdemo_sk
  and cd_marital_status = 'U'
  and cd_education_status = 'Primary'
  and ss_sales_price between 50.00 and 100.00
  and hd_dep_count = 1
  ) or
  (ss_hdemo_sk=hd_demo_sk
  and cd_demo_sk = ss_cdemo_sk
  and cd_marital_status = 'W'
  and cd_education_status = 'Secondary'
  and ss_sales_price between 150.00 and 200.00
  and hd_dep_count = 1
  ))
  and((ss_addr_sk = ca_address_sk
  and ca_country = 'United States'
  and ca_state in ('MI', 'MN', 'NC')
  and ss_net_profit between 100 and 200
  ) or
  (ss_addr_sk = ca_address_sk
  and ca_country = 'United States'
  and ca_state in ('GA', 'OH', 'MT')
  and ss_net_profit between 150 and 300
  ) or
  (ss_addr_sk = ca_address_sk
  and ca_country = 'United States'
  and ca_state in ('MS', 'AK', 'OK')
  and ss_net_profit between 50 and 250
  ))
 ;",01b25078-0002-162c-0000-0051ba872149,SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,SELECT,351021801497,CS291JPROJECT,ACCOUNTADMIN,TPCDS_BENCH_100T,4X-Large,STANDARD,1,,SUCCESS,,,2024-02-12T19:04:36.587-08:00,2024-02-12T19:04:52.516-08:00,15929,2205603270792,1,4113,11816,0,0,0,0,,,0,,,0,0.00063,0,8.5.2,0,0,0,0,0,FALSE,654f6b518b46d63a100a7f7f03f18d64,2,f65c131a896eb1276ea5e070dea431a7,1
